disease_code,disease_name,period_start,period_end,period_type,period_label,location_code,location_name,location_level,cases,deaths,population,incidence_per_100k,data_status,source_name,source_url,complete_period
AWD,Acute Watery Diarrhoea,2014-01-01,2014-12-31,annual,2014,BD,Bangladesh,national,2944000,,,,literature_derived_ecological_estimate,Kabir et al. (2025) and Ali et al. (2023) literature-derived estimates,https://pmc.ncbi.nlm.nih.gov/articles/PMC11922245/,True
AWD,Acute Watery Diarrhoea,2014-01-01,2014-12-31,annual,2014,BD-BAR,Barishal,division,322206,,8325666,3870.0,literature_derived_ecological_estimate,Kabir et al. (2025) and Ali et al. (2023) literature-derived estimates,https://pmc.ncbi.nlm.nih.gov/articles/PMC11922245/,True
AWD,Acute Watery Diarrhoea,2014-01-01,2014-12-31,annual,2014,BD-CTG,Chattogram,division,652661,,28423019,2296.2,literature_derived_ecological_estimate,Kabir et al. (2025) and Ali et al. (2023) literature-derived estimates,https://pmc.ncbi.nlm.nih.gov/articles/PMC11922245/,True
AWD,Acute Watery Diarrhoea,2014-01-01,2014-12-31,annual,2014,BD-DHA,Dhaka,division,545900,,36054418,1514.1,literature_derived_ecological_estimate,Kabir et al. (2025) and Ali et al. (2023) literature-derived estimates,https://pmc.ncbi.nlm.nih.gov/articles/PMC11922245/,True
AWD,Acute Watery Diarrhoea,2014-01-01,2014-12-31,annual,2014,BD-KHU,Khulna,division,320576,,15563000,2059.9,literature_derived_ecological_estimate,Kabir et al. (2025) and Ali et al. (2023) literature-derived estimates,https://pmc.ncbi.nlm.nih.gov/articles/PMC11922245/,True
AWD,Acute Watery Diarrhoea,2014-01-01,2014-12-31,annual,2014,BD-MYM,Mymensingh,division,267227,,11370000,2350.3,literature_derived_ecological_estimate,Kabir et al. (2025) and Ali et al. (2023) literature-derived estimates,https://pmc.ncbi.nlm.nih.gov/articles/PMC11922245/,True
AWD,Acute Watery Diarrhoea,2014-01-01,2014-12-31,annual,2014,BD-RAJ,Rajshahi,division,316684,,18484858,1713.2,literature_derived_ecological_estimate,Kabir et al. (2025) and Ali et al. (2023) literature-derived estimates,https://pmc.ncbi.nlm.nih.gov/articles/PMC11922245/,True
AWD,Acute Watery Diarrhoea,2014-01-01,2014-12-31,annual,2014,BD-RAN,Rangpur,division,156595,,15665000,999.6,literature_derived_ecological_estimate,Kabir et al. (2025) and Ali et al. (2023) literature-derived estimates,https://pmc.ncbi.nlm.nih.gov/articles/PMC11922245/,True
AWD,Acute Watery Diarrhoea,2014-01-01,2014-12-31,annual,2014,BD-SYL,Sylhet,division,362151,,10009239,3618.2,literature_derived_ecological_estimate,Kabir et al. (2025) and Ali et al. (2023) literature-derived estimates,https://pmc.ncbi.nlm.nih.gov/articles/PMC11922245/,True
AWD,Acute Watery Diarrhoea,2015-01-01,2015-12-31,annual,2015,BD,Bangladesh,national,3039999,,,,literature_derived_ecological_estimate,Kabir et al. (2025) and Ali et al. (2023) literature-derived estimates,https://pmc.ncbi.nlm.nih.gov/articles/PMC11922245/,True
AWD,Acute Watery Diarrhoea,2015-01-01,2015-12-31,annual,2015,BD-BAR,Barishal,division,332713,,8325666,3996.2,literature_derived_ecological_estimate,Kabir et al. (2025) and Ali et al. (2023) literature-derived estimates,https://pmc.ncbi.nlm.nih.gov/articles/PMC11922245/,True
AWD,Acute Watery Diarrhoea,2015-01-01,2015-12-31,annual,2015,BD-CTG,Chattogram,division,673943,,28423019,2371.1,literature_derived_ecological_estimate,Kabir et al. (2025) and Ali et al. (2023) literature-derived estimates,https://pmc.ncbi.nlm.nih.gov/articles/PMC11922245/,True
AWD,Acute Watery Diarrhoea,2015-01-01,2015-12-31,annual,2015,BD-DHA,Dhaka,division,563701,,36054418,1563.5,literature_derived_ecological_estimate,Kabir et al. (2025) and Ali et al. (2023) literature-derived estimates,https://pmc.ncbi.nlm.nih.gov/articles/PMC11922245/,True
AWD,Acute Watery Diarrhoea,2015-01-01,2015-12-31,annual,2015,BD-KHU,Khulna,division,331029,,15563000,2127.0,literature_derived_ecological_estimate,Kabir et al. (2025) and Ali et al. (2023) literature-derived estimates,https://pmc.ncbi.nlm.nih.gov/articles/PMC11922245/,True
AWD,Acute Watery Diarrhoea,2015-01-01,2015-12-31,annual,2015,BD-MYM,Mymensingh,division,275941,,11370000,2426.9,literature_derived_ecological_estimate,Kabir et al. (2025) and Ali et al. (2023) literature-derived estimates,https://pmc.ncbi.nlm.nih.gov/articles/PMC11922245/,True
AWD,Acute Watery Diarrhoea,2015-01-01,2015-12-31,annual,2015,BD-RAJ,Rajshahi,division,327011,,18484858,1769.1,literature_derived_ecological_estimate,Kabir et al. (2025) and Ali et al. (2023) literature-derived estimates,https://pmc.ncbi.nlm.nih.gov/articles/PMC11922245/,True
AWD,Acute Watery Diarrhoea,2015-01-01,2015-12-31,annual,2015,BD-RAN,Rangpur,division,161701,,15665000,1032.2,literature_derived_ecological_estimate,Kabir et al. (2025) and Ali et al. (2023) literature-derived estimates,https://pmc.ncbi.nlm.nih.gov/articles/PMC11922245/,True
