location_code,location_name,division_code,division_name,mean_temp_c,mean_annual_precip_mm,mean_annual_extreme_heat_days,extreme_heat_threshold_c,period_start,period_end,data_status,source_name,source_url
BD-D-BAGERHAT,Bagerhat,BD-KHU,Khulna,25.62,3327.36,42.67,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-BANDARBAN,Bandarban,BD-CTG,Chattogram,23.89,4212.91,18.67,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-BARGUNA,Barguna,BD-BAR,Barishal,26.04,4308.37,11.33,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-BARISHAL,Barishal,BD-BAR,Barishal,25.48,3358.96,22.56,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-BHOLA,Bhola,BD-BAR,Barishal,25.63,4205.48,15.78,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-BOGURA,Bogura,BD-RAJ,Rajshahi,25.33,2343.49,37.56,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-BRAHMANBARIA,Brahmanbaria,BD-CTG,Chattogram,25.21,2914.41,28.44,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-CHANDPUR,Chandpur,BD-CTG,Chattogram,25.45,2936.78,27.67,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-CHAPAINAWABGANJ,Chapainawabganj,BD-RAJ,Rajshahi,25.89,1382.40,87.11,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-CHATTOGRAM,Chattogram,BD-CTG,Chattogram,25.54,4408.76,7.00,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-CHUADANGA,Chuadanga,BD-KHU,Khulna,25.78,1775.07,75.78,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-COXS_BAZAR,Cox's Bazar,BD-CTG,Chattogram,26.36,7114.64,0.00,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-CUMILLA,Cumilla,BD-CTG,Chattogram,24.92,3097.83,22.33,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-DHAKA,Dhaka,BD-DHA,Dhaka,25.45,2672.34,36.11,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-DINAJPUR,Dinajpur,BD-RAN,Rangpur,25.05,2164.88,51.11,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-FARIDPUR,Faridpur,BD-DHA,Dhaka,25.54,2639.40,40.11,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-FENI,Feni,BD-CTG,Chattogram,24.96,3874.05,11.78,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-GAIBANDHA,Gaibandha,BD-RAN,Rangpur,25.25,2508.40,34.22,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-GAZIPUR,Gazipur,BD-DHA,Dhaka,25.40,2893.86,31.89,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-GOPALGANJ,Gopalganj,BD-DHA,Dhaka,25.53,2827.24,44.22,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-HABIGANJ,Habiganj,BD-SYL,Sylhet,25.22,4098.03,20.67,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-JAMALPUR,Jamalpur,BD-MYM,Mymensingh,25.18,2936.30,27.78,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-JASHORE,Jashore,BD-KHU,Khulna,25.67,2389.16,58.67,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-JHALOKATI,Jhalokati,BD-BAR,Barishal,25.62,3327.36,42.67,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
BD-D-JHENAIDAH,Jhenaidah,BD-KHU,Khulna,25.59,2272.05,52.56,35.0,2017-01-01,2025-12-31,modelled_reanalysis_daily_aggregate,NASA POWER via bangladesh-climate-disease-synthesis,https://power.larc.nasa.gov/
