disease_code,disease_name,period_start,period_end,period_type,period_label,location_code,location_name,location_level,cases,deaths,population,incidence_per_100k,data_status,source_name,source_url,complete_period
HPAI,Avian Influenza (HPAI),2007-01-01,2007-06-30,six_monthly,2007-S1,BD,Bangladesh,national,52,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2007-01-01,2007-06-30,six_monthly,2007-S1,BD-BAR,Barishal,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2007-01-01,2007-06-30,six_monthly,2007-S1,BD-CTG,Chattogram,division,1,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2007-01-01,2007-06-30,six_monthly,2007-S1,BD-DHA,Dhaka,division,31,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2007-01-01,2007-06-30,six_monthly,2007-S1,BD-KHU,Khulna,division,6,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2007-01-01,2007-06-30,six_monthly,2007-S1,BD-RAJ,Rajshahi,division,14,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2007-01-01,2007-06-30,six_monthly,2007-S1,BD-RAN,Rangpur,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2007-01-01,2007-06-30,six_monthly,2007-S1,BD-SYL,Sylhet,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2007-07-01,2007-12-31,six_monthly,2007-S2,BD,Bangladesh,national,16,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2007-07-01,2007-12-31,six_monthly,2007-S2,BD-BAR,Barishal,division,0,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2007-07-01,2007-12-31,six_monthly,2007-S2,BD-CTG,Chattogram,division,1,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
HPAI,Avian Influenza (HPAI),2007-07-01,2007-12-31,six_monthly,2007-S2,BD-DHA,Dhaka,division,2,,,,observed,WOAH WAHIS quantitative animal-disease data,https://wahis.woah.org/#/dashboards/qd-dashboard,True
