disease_code,disease_name,period_start,period_end,period_type,period_label,location_code,location_name,location_level,cases,deaths,population,incidence_per_100k,data_status,source_name,source_url,complete_period
JE,Japanese Encephalitis,2007-01-01,2007-12-31,annual,2007,BD,Bangladesh,national,24,,,,single_source_literature,Paul et al. (2020) hospital-based sentinel surveillance,https://doi.org/10.1016/j.ijid.2020.07.026,True
JE,Japanese Encephalitis,2007-01-01,2007-12-31,annual,2007,BD-CTG,Chattogram,division,2,,,,single_source_literature,Paul et al. (2020) hospital-based sentinel surveillance,https://doi.org/10.1016/j.ijid.2020.07.026,True
JE,Japanese Encephalitis,2007-01-01,2007-12-31,annual,2007,BD-KHU,Khulna,division,2,,,,single_source_literature,Paul et al. (2020) hospital-based sentinel surveillance,https://doi.org/10.1016/j.ijid.2020.07.026,True
JE,Japanese Encephalitis,2007-01-01,2007-12-31,annual,2007,BD-RAJ,Rajshahi,division,20,,,,single_source_literature,Paul et al. (2020) hospital-based sentinel surveillance,https://doi.org/10.1016/j.ijid.2020.07.026,True
JE,Japanese Encephalitis,2008-01-01,2008-12-31,annual,2008,BD,Bangladesh,national,26,,,,single_source_literature,Paul et al. (2020) hospital-based sentinel surveillance,https://doi.org/10.1016/j.ijid.2020.07.026,True
JE,Japanese Encephalitis,2008-01-01,2008-12-31,annual,2008,BD-CTG,Chattogram,division,10,,,,single_source_literature,Paul et al. (2020) hospital-based sentinel surveillance,https://doi.org/10.1016/j.ijid.2020.07.026,True
JE,Japanese Encephalitis,2008-01-01,2008-12-31,annual,2008,BD-KHU,Khulna,division,5,,,,single_source_literature,Paul et al. (2020) hospital-based sentinel surveillance,https://doi.org/10.1016/j.ijid.2020.07.026,True
JE,Japanese Encephalitis,2008-01-01,2008-12-31,annual,2008,BD-RAJ,Rajshahi,division,11,,,,single_source_literature,Paul et al. (2020) hospital-based sentinel surveillance,https://doi.org/10.1016/j.ijid.2020.07.026,True
JE,Japanese Encephalitis,2009-01-01,2009-12-31,annual,2009,BD,Bangladesh,national,12,,,,single_source_literature,Paul et al. (2020) hospital-based sentinel surveillance,https://doi.org/10.1016/j.ijid.2020.07.026,True
JE,Japanese Encephalitis,2009-01-01,2009-12-31,annual,2009,BD-CTG,Chattogram,division,2,,,,single_source_literature,Paul et al. (2020) hospital-based sentinel surveillance,https://doi.org/10.1016/j.ijid.2020.07.026,True
JE,Japanese Encephalitis,2009-01-01,2009-12-31,annual,2009,BD-RAJ,Rajshahi,division,10,,,,single_source_literature,Paul et al. (2020) hospital-based sentinel surveillance,https://doi.org/10.1016/j.ijid.2020.07.026,True
JE,Japanese Encephalitis,2010-01-01,2010-12-31,annual,2010,BD,Bangladesh,national,76,,,,single_source_literature,Paul et al. (2020) hospital-based sentinel surveillance,https://doi.org/10.1016/j.ijid.2020.07.026,True
JE,Japanese Encephalitis,2010-01-01,2010-12-31,annual,2010,BD-CTG,Chattogram,division,3,,,,single_source_literature,Paul et al. (2020) hospital-based sentinel surveillance,https://doi.org/10.1016/j.ijid.2020.07.026,True
JE,Japanese Encephalitis,2010-01-01,2010-12-31,annual,2010,BD-KHU,Khulna,division,3,,,,single_source_literature,Paul et al. (2020) hospital-based sentinel surveillance,https://doi.org/10.1016/j.ijid.2020.07.026,True
JE,Japanese Encephalitis,2010-01-01,2010-12-31,annual,2010,BD-RAJ,Rajshahi,division,10,,,,single_source_literature,Paul et al. (2020) hospital-based sentinel surveillance,https://doi.org/10.1016/j.ijid.2020.07.026,True
JE,Japanese Encephalitis,2010-01-01,2010-12-31,annual,2010,BD-RAN,Rangpur,division,60,,,,single_source_literature,Paul et al. (2020) hospital-based sentinel surveillance,https://doi.org/10.1016/j.ijid.2020.07.026,True
JE,Japanese Encephalitis,2011-01-01,2011-12-31,annual,2011,BD,Bangladesh,national,69,,,,single_source_literature,Paul et al. (2020) hospital-based sentinel surveillance,https://doi.org/10.1016/j.ijid.2020.07.026,True
JE,Japanese Encephalitis,2011-01-01,2011-12-31,annual,2011,BD-KHU,Khulna,division,4,,,,single_source_literature,Paul et al. (2020) hospital-based sentinel surveillance,https://doi.org/10.1016/j.ijid.2020.07.026,True
JE,Japanese Encephalitis,2011-01-01,2011-12-31,annual,2011,BD-RAJ,Rajshahi,division,39,,,,single_source_literature,Paul et al. (2020) hospital-based sentinel surveillance,https://doi.org/10.1016/j.ijid.2020.07.026,True
JE,Japanese Encephalitis,2011-01-01,2011-12-31,annual,2011,BD-RAN,Rangpur,division,26,,,,single_source_literature,Paul et al. (2020) hospital-based sentinel surveillance,https://doi.org/10.1016/j.ijid.2020.07.026,True
JE,Japanese Encephalitis,2012-01-01,2012-12-31,annual,2012,BD,Bangladesh,national,54,,,,single_source_literature,Paul et al. (2020) hospital-based sentinel surveillance,https://doi.org/10.1016/j.ijid.2020.07.026,True
JE,Japanese Encephalitis,2012-01-01,2012-12-31,annual,2012,BD-RAJ,Rajshahi,division,45,,,,single_source_literature,Paul et al. (2020) hospital-based sentinel surveillance,https://doi.org/10.1016/j.ijid.2020.07.026,True
JE,Japanese Encephalitis,2012-01-01,2012-12-31,annual,2012,BD-RAN,Rangpur,division,9,,,,single_source_literature,Paul et al. (2020) hospital-based sentinel surveillance,https://doi.org/10.1016/j.ijid.2020.07.026,True
JE,Japanese Encephalitis,2013-01-01,2013-12-31,annual,2013,BD,Bangladesh,national,81,,,,single_source_literature,Paul et al. (2020) hospital-based sentinel surveillance,https://doi.org/10.1016/j.ijid.2020.07.026,True
JE,Japanese Encephalitis,2013-01-01,2013-12-31,annual,2013,BD-CTG,Chattogram,division,4,,,,single_source_literature,Paul et al. (2020) hospital-based sentinel surveillance,https://doi.org/10.1016/j.ijid.2020.07.026,True
JE,Japanese Encephalitis,2013-01-01,2013-12-31,annual,2013,BD-RAJ,Rajshahi,division,38,,,,single_source_literature,Paul et al. (2020) hospital-based sentinel surveillance,https://doi.org/10.1016/j.ijid.2020.07.026,True
JE,Japanese Encephalitis,2013-01-01,2013-12-31,annual,2013,BD-RAN,Rangpur,division,39,,,,single_source_literature,Paul et al. (2020) hospital-based sentinel surveillance,https://doi.org/10.1016/j.ijid.2020.07.026,True
JE,Japanese Encephalitis,2014-01-01,2014-12-31,annual,2014,BD,Bangladesh,national,109,,,,single_source_literature,Paul et al. (2020) hospital-based sentinel surveillance,https://doi.org/10.1016/j.ijid.2020.07.026,True
JE,Japanese Encephalitis,2014-01-01,2014-12-31,annual,2014,BD-CTG,Chattogram,division,5,,,,single_source_literature,Paul et al. (2020) hospital-based sentinel surveillance,https://doi.org/10.1016/j.ijid.2020.07.026,True
JE,Japanese Encephalitis,2014-01-01,2014-12-31,annual,2014,BD-RAJ,Rajshahi,division,37,,,,single_source_literature,Paul et al. (2020) hospital-based sentinel surveillance,https://doi.org/10.1016/j.ijid.2020.07.026,True
JE,Japanese Encephalitis,2014-01-01,2014-12-31,annual,2014,BD-RAN,Rangpur,division,67,,,,single_source_literature,Paul et al. (2020) hospital-based sentinel surveillance,https://doi.org/10.1016/j.ijid.2020.07.026,True
JE,Japanese Encephalitis,2015-01-01,2015-12-31,annual,2015,BD,Bangladesh,national,70,,,,single_source_literature,Paul et al. (2020) hospital-based sentinel surveillance,https://doi.org/10.1016/j.ijid.2020.07.026,True
JE,Japanese Encephalitis,2015-01-01,2015-12-31,annual,2015,BD-CTG,Chattogram,division,12,,,,single_source_literature,Paul et al. (2020) hospital-based sentinel surveillance,https://doi.org/10.1016/j.ijid.2020.07.026,True
