disease_code,disease_name,period_start,period_end,period_type,period_label,location_code,location_name,location_level,cases,deaths,population,incidence_per_100k,data_status,source_name,source_url,complete_period
MALARIA,Malaria,2015-01-01,2015-12-31,annual,2015,BD,Bangladesh,national,39719,,,,who_reported_confirmed_cases,WHO Global Health Observatory — confirmed malaria cases,https://ghoapi.azureedge.net/api/MALARIA_CONF_CASES,True
MALARIA,Malaria,2016-01-01,2016-12-31,annual,2016,BD,Bangladesh,national,27737,,,,who_reported_confirmed_cases,WHO Global Health Observatory — confirmed malaria cases,https://ghoapi.azureedge.net/api/MALARIA_CONF_CASES,True
MALARIA,Malaria,2017-01-01,2017-12-31,annual,2017,BD,Bangladesh,national,29247,,,,who_reported_confirmed_cases,WHO Global Health Observatory — confirmed malaria cases,https://ghoapi.azureedge.net/api/MALARIA_CONF_CASES,True
MALARIA,Malaria,2018-01-01,2018-12-31,annual,2018,BD,Bangladesh,national,10523,,,,who_reported_confirmed_cases,WHO Global Health Observatory — confirmed malaria cases,https://ghoapi.azureedge.net/api/MALARIA_CONF_CASES,True
MALARIA,Malaria,2019-01-01,2019-12-31,annual,2019,BD,Bangladesh,national,17225,,,,who_reported_confirmed_cases,WHO Global Health Observatory — confirmed malaria cases,https://ghoapi.azureedge.net/api/MALARIA_CONF_CASES,True
MALARIA,Malaria,2020-01-01,2020-12-31,annual,2020,BD,Bangladesh,national,6130,,,,who_reported_confirmed_cases,WHO Global Health Observatory — confirmed malaria cases,https://ghoapi.azureedge.net/api/MALARIA_CONF_CASES,True
MALARIA,Malaria,2021-01-01,2021-12-31,annual,2021,BD,Bangladesh,national,7294,,,,who_reported_confirmed_cases,WHO Global Health Observatory — confirmed malaria cases,https://ghoapi.azureedge.net/api/MALARIA_CONF_CASES,True
MALARIA,Malaria,2022-01-01,2022-12-31,annual,2022,BD,Bangladesh,national,18246,,,,who_reported_confirmed_cases,WHO Global Health Observatory — confirmed malaria cases,https://ghoapi.azureedge.net/api/MALARIA_CONF_CASES,True
MALARIA,Malaria,2023-01-01,2023-12-31,annual,2023,BD,Bangladesh,national,16567,,,,who_reported_confirmed_cases,WHO Global Health Observatory — confirmed malaria cases,https://ghoapi.azureedge.net/api/MALARIA_CONF_CASES,True
MALARIA,Malaria,2024-01-01,2024-12-31,annual,2024,BD,Bangladesh,national,13100,,,,who_reported_confirmed_cases,WHO Global Health Observatory — confirmed malaria cases,https://ghoapi.azureedge.net/api/MALARIA_CONF_CASES,True
