disease_code,disease_name,period_start,period_end,period_type,period_label,location_code,location_name,location_level,cases,deaths,population,incidence_per_100k,data_status,source_name,source_url,complete_period
NIPAH,Nipah Virus,2001-01-01,2001-12-31,annual,2001,BD,Bangladesh,national,13,9,,,cross_validated_literature,Satter et al. (2023) and Bhowmik et al. (2024) literature compilation,https://doi.org/10.1371/journal.pntd.0011617,True
NIPAH,Nipah Virus,2002-01-01,2002-12-31,annual,2002,BD,Bangladesh,national,0,0,,,cross_validated_literature,Satter et al. (2023) and Bhowmik et al. (2024) literature compilation,https://doi.org/10.1371/journal.pntd.0011617,True
NIPAH,Nipah Virus,2003-01-01,2003-12-31,annual,2003,BD,Bangladesh,national,12,8,,,cross_validated_literature,Satter et al. (2023) and Bhowmik et al. (2024) literature compilation,https://doi.org/10.1371/journal.pntd.0011617,True
NIPAH,Nipah Virus,2004-01-01,2004-12-31,annual,2004,BD,Bangladesh,national,67,50,,,cross_validated_literature,Satter et al. (2023) and Bhowmik et al. (2024) literature compilation,https://doi.org/10.1371/journal.pntd.0011617,True
NIPAH,Nipah Virus,2005-01-01,2005-12-31,annual,2005,BD,Bangladesh,national,12,11,,,cross_validated_literature,Satter et al. (2023) and Bhowmik et al. (2024) literature compilation,https://doi.org/10.1371/journal.pntd.0011617,True
NIPAH,Nipah Virus,2006-01-01,2006-12-31,annual,2006,BD,Bangladesh,national,0,0,,,cross_validated_literature,Satter et al. (2023) and Bhowmik et al. (2024) literature compilation,https://doi.org/10.1371/journal.pntd.0011617,True
NIPAH,Nipah Virus,2007-01-01,2007-12-31,annual,2007,BD,Bangladesh,national,18,9,,,cross_validated_literature,Satter et al. (2023) and Bhowmik et al. (2024) literature compilation,https://doi.org/10.1371/journal.pntd.0011617,True
NIPAH,Nipah Virus,2008-01-01,2008-12-31,annual,2008,BD,Bangladesh,national,11,7,,,cross_validated_literature,Satter et al. (2023) and Bhowmik et al. (2024) literature compilation,https://doi.org/10.1371/journal.pntd.0011617,True
NIPAH,Nipah Virus,2009-01-01,2009-12-31,annual,2009,BD,Bangladesh,national,4,1,,,cross_validated_literature,Satter et al. (2023) and Bhowmik et al. (2024) literature compilation,https://doi.org/10.1371/journal.pntd.0011617,True
NIPAH,Nipah Virus,2010-01-01,2010-12-31,annual,2010,BD,Bangladesh,national,18,16,,,cross_validated_literature,Satter et al. (2023) and Bhowmik et al. (2024) literature compilation,https://doi.org/10.1371/journal.pntd.0011617,True
NIPAH,Nipah Virus,2011-01-01,2011-12-31,annual,2011,BD,Bangladesh,national,43,37,,,cross_validated_literature,Satter et al. (2023) and Bhowmik et al. (2024) literature compilation,https://doi.org/10.1371/journal.pntd.0011617,True
