year,week,week_num,division,dengue_cases
2026,W01,1,Barisal,67
2026,W02,2,Barisal,41
2026,W03,3,Barisal,30
2026,W04,4,Barisal,16
2026,W05,5,Barisal,12
2026,W06,6,Barisal,18
2026,W07,7,Barisal,34
2026,W08,8,Barisal,18
2026,W09,9,Barisal,8
2026,W10,10,Barisal,16
2026,W11,11,Barisal,10
2026,W12,12,Barisal,4
2026,W13,13,Barisal,56
2026,W14,14,Barisal,48
2026,W15,15,Barisal,41
2026,W16,16,Barisal,62
2026,W17,17,Barisal,32
2026,W18,18,Barisal,57
2026,W19,19,Barisal,74
2026,W20,20,Barisal,54
2026,W21,21,Barisal,25
2026,W22,22,Barisal,110
2026,W01,1,Chattogram,129
2026,W02,2,Chattogram,46
2026,W03,3,Chattogram,38
2026,W04,4,Chattogram,44
2026,W05,5,Chattogram,28
2026,W06,6,Chattogram,23
2026,W07,7,Chattogram,29
2026,W08,8,Chattogram,25
2026,W09,9,Chattogram,25
2026,W10,10,Chattogram,18
2026,W11,11,Chattogram,13
2026,W12,12,Chattogram,20
2026,W13,13,Chattogram,21
2026,W14,14,Chattogram,23
2026,W15,15,Chattogram,29
2026,W16,16,Chattogram,29
2026,W17,17,Chattogram,41
2026,W18,18,Chattogram,43
2026,W19,19,Chattogram,31
2026,W20,20,Chattogram,46
2026,W21,21,Chattogram,41
2026,W22,22,Chattogram,30
2026,W01,1,Dhaka,244
2026,W02,2,Dhaka,130
2026,W03,3,Dhaka,59
2026,W04,4,Dhaka,59
2026,W05,5,Dhaka,48
2026,W06,6,Dhaka,40
2026,W07,7,Dhaka,35
2026,W08,8,Dhaka,33
2026,W09,9,Dhaka,33
2026,W10,10,Dhaka,25
2026,W11,11,Dhaka,34
2026,W12,12,Dhaka,29
2026,W13,13,Dhaka,58
2026,W14,14,Dhaka,41
2026,W15,15,Dhaka,47
2026,W16,16,Dhaka,53
2026,W17,17,Dhaka,37
2026,W18,18,Dhaka,39
2026,W19,19,Dhaka,54
2026,W20,20,Dhaka,76
2026,W21,21,Dhaka,44
2026,W22,22,Dhaka,57
2026,W01,1,Khulna,26
2026,W02,2,Khulna,10
2026,W03,3,Khulna,12
2026,W04,4,Khulna,12
2026,W05,5,Khulna,5
2026,W06,6,Khulna,10
2026,W07,7,Khulna,15
2026,W08,8,Khulna,3
2026,W09,9,Khulna,4
2026,W10,10,Khulna,5
2026,W11,11,Khulna,2
2026,W12,12,Khulna,0
2026,W13,13,Khulna,13
2026,W14,14,Khulna,7
2026,W15,15,Khulna,9
2026,W16,16,Khulna,4
2026,W17,17,Khulna,8
2026,W18,18,Khulna,13
2026,W19,19,Khulna,16
2026,W20,20,Khulna,15
2026,W21,21,Khulna,9
2026,W22,22,Khulna,73
2026,W01,1,Mymensingh,20
2026,W02,2,Mymensingh,9
2026,W03,3,Mymensingh,5
2026,W04,4,Mymensingh,12
2026,W05,5,Mymensingh,6
2026,W06,6,Mymensingh,5
2026,W07,7,Mymensingh,5
2026,W08,8,Mymensingh,0
2026,W09,9,Mymensingh,0
2026,W10,10,Mymensingh,2
2026,W11,11,Mymensingh,3
2026,W12,12,Mymensingh,2
2026,W13,13,Mymensingh,4
2026,W14,14,Mymensingh,7
2026,W15,15,Mymensingh,1
2026,W16,16,Mymensingh,1
2026,W17,17,Mymensingh,3
2026,W18,18,Mymensingh,0
2026,W19,19,Mymensingh,4
2026,W20,20,Mymensingh,7
2026,W21,21,Mymensingh,0
2026,W22,22,Mymensingh,9
2026,W01,1,Rajshahi,32
2026,W02,2,Rajshahi,17
2026,W03,3,Rajshahi,3
2026,W04,4,Rajshahi,10
2026,W05,5,Rajshahi,2
2026,W06,6,Rajshahi,0
2026,W07,7,Rajshahi,8
2026,W08,8,Rajshahi,1
2026,W09,9,Rajshahi,2
2026,W10,10,Rajshahi,1
2026,W11,11,Rajshahi,3
2026,W12,12,Rajshahi,0
2026,W13,13,Rajshahi,5
2026,W14,14,Rajshahi,18
2026,W15,15,Rajshahi,0
2026,W16,16,Rajshahi,6
2026,W17,17,Rajshahi,3
2026,W18,18,Rajshahi,0
2026,W19,19,Rajshahi,3
2026,W20,20,Rajshahi,6
2026,W21,21,Rajshahi,5
2026,W22,22,Rajshahi,5
2026,W01,1,Rangpur,0
2026,W02,2,Rangpur,0
2026,W03,3,Rangpur,0
2026,W04,4,Rangpur,0
2026,W05,5,Rangpur,0
2026,W06,6,Rangpur,0
2026,W07,7,Rangpur,0
2026,W08,8,Rangpur,0
2026,W09,9,Rangpur,0
2026,W10,10,Rangpur,0
2026,W11,11,Rangpur,0
2026,W12,12,Rangpur,0
2026,W13,13,Rangpur,0
2026,W14,14,Rangpur,0
2026,W15,15,Rangpur,22
2026,W16,16,Rangpur,3
2026,W17,17,Rangpur,1
2026,W18,18,Rangpur,1
2026,W19,19,Rangpur,1
2026,W20,20,Rangpur,0
2026,W21,21,Rangpur,1
2026,W22,22,Rangpur,0
2026,W01,1,Sylhet,4
2026,W02,2,Sylhet,2
2026,W03,3,Sylhet,1
2026,W04,4,Sylhet,0
2026,W05,5,Sylhet,0
2026,W06,6,Sylhet,0
2026,W07,7,Sylhet,0
2026,W08,8,Sylhet,0
2026,W09,9,Sylhet,0
2026,W10,10,Sylhet,1
2026,W11,11,Sylhet,1
2026,W12,12,Sylhet,1
2026,W13,13,Sylhet,1
2026,W14,14,Sylhet,4
2026,W15,15,Sylhet,7
2026,W16,16,Sylhet,3
2026,W17,17,Sylhet,0
2026,W18,18,Sylhet,0
2026,W19,19,Sylhet,0
2026,W20,20,Sylhet,7
2026,W21,21,Sylhet,1
2026,W22,22,Sylhet,2
