location_code,district_name,source_district_name,division_code,division_name,notes
BD-D-BAGERHAT,Bagerhat,Bagerhat,BD-KHU,Khulna,
BD-D-BANDARBAN,Bandarban,Bandarban,BD-CTG,Chattogram,Large/topographically diverse district; NASA POWER single-centroid caveat applies especially strongly here.
BD-D-BARGUNA,Barguna,Barguna,BD-BAR,Barishal,
BD-D-BARISHAL,Barishal,Barisal,BD-BAR,Barishal,Source spelling "Barisal" renamed to canonical "Barishal".
BD-D-BHOLA,Bhola,Bhola,BD-BAR,Barishal,
BD-D-BOGURA,Bogura,Bogra,BD-RAJ,Rajshahi,Source spelling "Bogra" renamed to canonical "Bogura".
BD-D-BRAHMANBARIA,Brahmanbaria,Brahamanbaria,BD-CTG,Chattogram,Source spelling "Brahamanbaria" is a typo; corrected to "Brahmanbaria".
BD-D-CHANDPUR,Chandpur,Chandpur,BD-CTG,Chattogram,
BD-D-CHATTOGRAM,Chattogram,Chittagong,BD-CTG,Chattogram,Source spelling "Chittagong" renamed to canonical "Chattogram".
BD-D-CHUADANGA,Chuadanga,Chuadanga,BD-KHU,Khulna,
BD-D-CUMILLA,Cumilla,Comilla,BD-CTG,Chattogram,Source spelling "Comilla" renamed to canonical "Cumilla".
BD-D-COXS_BAZAR,Cox's Bazar,Cox's Bazar,BD-CTG,Chattogram,
BD-D-DHAKA,Dhaka,Dhaka,BD-DHA,Dhaka,
BD-D-DINAJPUR,Dinajpur,Dinajpur,BD-RAN,Rangpur,
BD-D-FARIDPUR,Faridpur,Faridpur,BD-DHA,Dhaka,
BD-D-FENI,Feni,Feni,BD-CTG,Chattogram,
BD-D-GAIBANDHA,Gaibandha,Gaibandha,BD-RAN,Rangpur,
BD-D-GAZIPUR,Gazipur,Gazipur,BD-DHA,Dhaka,
BD-D-GOPALGANJ,Gopalganj,Gopalganj,BD-DHA,Dhaka,
BD-D-HABIGANJ,Habiganj,Habiganj,BD-SYL,Sylhet,
BD-D-JAMALPUR,Jamalpur,Jamalpur,BD-MYM,Mymensingh,
BD-D-JASHORE,Jashore,Jessore,BD-KHU,Khulna,Source spelling "Jessore" renamed to canonical "Jashore".
BD-D-JHALOKATI,Jhalokati,Jhalokati,BD-BAR,Barishal,
BD-D-JHENAIDAH,Jhenaidah,Jhenaidah,BD-KHU,Khulna,
BD-D-JOYPURHAT,Joypurhat,Joypurhat,BD-RAJ,Rajshahi,
BD-D-KHAGRACHHARI,Khagrachhari,Khagrachhari,BD-CTG,Chattogram,
BD-D-KHULNA,Khulna,Khulna,BD-KHU,Khulna,
BD-D-KISHOREGANJ,Kishoreganj,Kishoreganj,BD-DHA,Dhaka,
BD-D-KURIGRAM,Kurigram,Kurigram,BD-RAN,Rangpur,
BD-D-KUSHTIA,Kushtia,Kushtia,BD-KHU,Khulna,
